Alpha Centuri (QQ)|centaur|male|Xanth||was the leader of a group of centaurs working for ^Humfrey^. They owed him a year's indebtedness for wiping out the lightning bugs.|14|
Amanda (CuR)|human|female|Xanth|changing one type plant to another||27|
Amanda (HT)|crossbreed|female|Xanth||is a half griffin.|17|
Amanda (YIW)|human|female|Xanth, Twin City|changing the color of her hair|was 10 years old when ^David Baldwin^ met her.|20|
Amara|human|female|Xanth||is an asexual aromantic young woman who is the Xanthian host for ^Isis^ who makes her pretty and shapely. ^Goar^ wanted her. She played ^Doorthy^ in "The Lizard of Waz" and the ^Princess (GWITS)^ in "The Princess and the Hog". She allows Isis to use her to be the lover of ^Ted^.|M41|
Amazonia|elf|female|Xanth|||29|
Amber|dog||Mundania; Xanth Reality 6||is the pet of ^Ruth Sutpen^.|30|
Amber Dawn|human|female|Xanth, Castle Zombie|making a resin that collects insects, enemies, etc and hardens and preserves it|Her soul was delivered to Zombie by mistake. It was returned to Xanth by ^Cube^. She is the last person with ^Seren Dip Ity^.|27, 28, 29|
Ambigus|centaur|male|Xanth|splitting in the absence of magic|found his talent with the help of Humfrey.|14|
Ambrielle|nymph|female|Xanth||is wearing a bra.|41|
An-Dro-Meda|human|female|Mundania||was a maiden in distress who was rescued by ^Per-See-Us^ from the ^Monster of the Sea^.|m9|
Ana Conda|naga|female|Xanth|||28|12
Anairam|human|female|Xanth, Twin City|animating rocks|was 12 years old when ^David Baldwin^ met her.|20|
Ananda|human|female|Xanth|changing one type plant to another||27|
Anathe Ma|human|female|Xanth||is a repulsively ugly but kind-hearted woman.|16, 26|
Ande|human|male|Xanth|making virtually unbreakable promises|is afraid Jumper will steal his treasure, and Jumper promises he won't.|33|13
Andrea|human|female|Xanth|becoming a carrot|feeds many people and not get eaten enough to matter by becoming a LARGE carrot.|m26|
Andrew|human|male|Xanth|answering questions and is right 50% of the time|is called Average Magician Andrew by his friends.|36|7
Andromeda (SF)|major demon|female|Andromeda Galaxy|||m25|
Andromeda (TTTF)|dragonfly|female|Xanth, Adver City|flowers growing where she walks|is an Elder of Adver City.|32|
Anemone|creature||Xanth||is an enemy.|23|
Angel|horse|female|Mundania; Xanth||is the companion of ^Stephanie (CE)^.|28|
Angela (AA)|angel|female|Heaven; Xanth||was a tour guide of Heaven. She is in love with Beauregard, a demon from Hell, so came to Xanth to establish reality so she can live with him. She switched places with ^Dipper^. She wears a sash of seeds.|31, M34|
Angela (CuR)|human|female|Xanth|conjuring mundane objects||27|
Angie Ina|human|female|Xanth|being drop-dead gorgeous, literally|is a temporary imaginary friend created by ^Olive Hue^. She gives ^Jumper (JC)^ lessons on resisting freaking out.|33|
Angri Lee|human|male|Xanth||was crossing the invisible bridge over the Gap Chasm.|27|
Anima|human|female|Xanth|animating the inanimate|was delivered after the rejuvenation of her parents.|34|
Ann Arcky|human|female|Xanth|absent mindedness|has wild black hair and eyes and a prominent bosom and cleavage.|m24|
Ann Chovie|merfolk, salt|female|Xanth, Isle of Fellowship||lost her family when it was was unhappened by the ^Dastard^.|24|
Ann Droid|android|female|Xanth||makes and controls specialized robots.|39|
Ann Gina|human|female|Xanth|making throats sore and hearts hurt||28|
Ann Serr|human|female|Xanth||wants Questions to Answer (Like Jeopardy).|30|
Ann Tenna|human|female|Xanth|hears things from afar|has aluminum hair and silver eyes.|27|
Anna Cause|human|female|Xanth||Pet ^Ition^ collected sig flowers for A Cause (Anna Cause).|24|
Anna Conda|naga|female|Xanth|||19|12
Anna Gram|human; zombie|female|Xanth|changing things by rearranging letters of words||25|
Anna Molly|human|female|Xanth|anomaly|posed as the sister of Justin Kase but is him transformed into a woman with a new talent. She is thin but fit with dark hair and one blue and one brown eye. ^Harmony's^ gift to her was the mini-purse. She took the Bee.|M36|
Anna Phytactic|human|female|Xanth|shocking with allergy|is a temporary imaginary friend created by ^Olive Hue^.|33|
Anna Sthesia|human|female|Xanth|making folks numb||28|
Anne|human|female|Xanth|diffusing until ghostlike|has long auburn hair with copper streaks. She is the submissive twin.|29|
Anne Orexic|human|female|Xanth|making 4 letter words actual actions|Her torso floats above her hips.|33|
Annie Mae|human|female|Ptero, Comic Strip||guided ^Clio^ and her group through a comic strip.|28|
Annie Mal|human|female|Xanth|becoming any animal||37|
Annie Mation|human|female|Ptero|making pictures come to life|was emulated in Xanth by ^Metria^, who will not help ^Umlaut^ with the fire ants.|26|
Anomie|human|male|Xanth|||m27, m28|
Anomy|human|male|Xanth|having stupid ideas|is the husband of Melody on Ptero. He gave up his soul, got a new talent, and became the Dastard in a deal with ^D. Test^. While he was the Dastard, he did dastardly deeds of abolishing the good adventures of others by making them unhappen. He called himself Dashing. He made ^Ho^ forget about going to ^Ida^ and proposing marriage, which kept ^Idaho^ from being delivered. He unhappened the relationship of ^Jade^ with ^Mac^/^Mike (TD)^/^Mal^. He unhappened the entire community on the Isle of Fellowship. He made a deal with the ^Sea Hag^ while she possessed Melody to marry her. He switched with his younger self on Ptero. He is sometimes called Anomie.|24, 26, m27, m28, m36|
Anona Ant|ant|female|Xanth, PiqueAnt Hill||helped ^Che^ look for the children in Xanth Reality Six. In the main Xanth reality, she helps defeat ^Ragna^ Roc.|30, 32|
Anorexia Nervosa|human|female|Xanth||was a date arranged for ^Grey^ by ^Sending^. She was an attractive young woman who is extremely thin from constantly dieting.|12|
Ant Onym|ant||Ptero, Comic Strip||is an antonym.|24|
Anthony|human|male|Xanth|summoning and banishing Metria||34|
Anthony Liaw|human|male|Mundania|summoning stink horns|was a marine biologist who died when he was 28 years old. His nickname is Pirate. He got his talent from ^Dan^.|35|
Anti Nym|human|female|Xanth||is an antonym.|m23|
Antigua|island|female|Ptero|||41|
Antiperspir Ant|ant|male|Xanth|||32|2
Apolo-G|letter bug||Ptero, Comic Strip||is wearing a G-string.|m28|17
Apop Tosis|skeleton|male|Xanth||is apoptosis, cell death.|22|
Apopto Sis|human|female|Xanth|programming the death of cells||m38, m39|
Aqui|pool||Xanth||is a poison pool.|17|
Arachid|spider||Xanth||is the guardian of the Web.|25|
Archae|centaur|male|Xanth||was digging on the Isle of View to find ^Tapis's^ house.|m13|
Arges|cyclops|male|Xanth||was a Power of Air with his brothers until they fell out of favor.|m7|
Ari (IO 5.1)|goblin|female|Xanth||is a girl with same name as her brother, looking for his name. Goblins trying to seduce the Companions off the Enchanted Path.|40|
Ari (IO 5.2)|goblin|male|Xanth||is a boy with same name as his sister, looking for his name. He "can't talk". Goblins trying to seduce the Companions off the Enchanted Path.|40|
Arien|human|female|Ptero|borrowing talents|is a friend of ^Isabella Emily Carylyn^.|m21|
Arjayess|human|female|Mundania||wrote letters to Xanthians. ^Alaric^, ^Fellini^, and ^Misha^ are her pets.|m26|
Arlis|human|male|Xanth Reality 6|always being called by a nickname||30|
Arme Dillow|creature||Xanth||woke ^Matt a Door^ from his sleep under the ^Roc of Ages^.|26|
Armored Dillo|creature||Ptero, Comic Strip||is a cylindrical creature in curved metallic plates.|28|
Arnolde|centaur|male|Xanth|creating an aisle of magic|is sometimes known as the Archivist. He served as King pro tem during the NextWave invasion.|M4, m5, 6, 7, M9, m13, 14, M19, 28, 38|
Arrowhead|elf|male|Xanth, Region of the Elves||is armed with a bow and quiver of arrows.|8|
Arsenal|human|male|Xanth||was a suitor of ^Harmony^. He is an expert in combat that he sees or trains in. She gave him a pen knife that can cut or sketch. He took the Sword.|M36|
Art|human|male|Xanth|immunity to poison|adopted Firenze. He is an artist with a ruddy complexion and red hair.|M38, M39|
Arte Menia|human|male|Xanth|persuasion of sincerity|was the Master Slaver ^Iris^ remembered. The demons ^Rum^ and ^Magpie^, the ^Knight Guard^, and ^Katka^ were working for him. The demons chose to serve Iris instead. Iris brought him to justice.|18|
Arthur Itis|human|male|Xanth|making joints stiff||24|
Arthur Pendragon|human|male|Mundania, England||was the King of the Britons from Camelot. He was deceived by Morgan Le Fey and Mordred.|m19, m28, m41|
Ash|merfolk, fresh|female|Xanth|reading titles (with help)|was a bored mermaid with blonde hair encountered by ^Trent^, ^Gloha^, and ^Cynthia^. When she works with ^Cedar^ and ^Mahogany^, they can read one title.|17, 22|
Ashley Rose|human|female|Xanth||was brave and resourceful. She sent Rose away to Castle Roogna and stayed behind while Rose escaped ^Muerte A. Fid's^ goons.|14|
Ashli|human|female|Xanth|looking forward in time to see the result of a decision||m25|
Ass O' Nine Tails|donkey|male|Xanth||has nine tails that tell nine tales while you are riding him. Three of them are "^Michael Velli^ and the Crow Bar", "^Mother Hen^ and her sons ^Vim^ and ^Vigor^", and "^Rubella^ and the Fool Moon".|m16|
Asse|imp|male|Xanth, Imp Perial|||20|
Asse Sette|human|male|Xanth||is a man with assets.|31|
Astarte|human|female|Mundania, Byblos|||m40|
Astrid (BS)|basilisk; human|female|Xanth||adopted Firenze. She got a soul on accident. She was transformed from a basilisk to a shapely human while retaining her basilisk abilities, her perfume is intoxicating and direct look kills. She always wears dark glasses and the Sequins of Events dress. She seeks love. She was assigned by Humfrey to protect the party. She is credited with saving Xanth.|M38, M39, 40|
Astrid (FAG)|crossbreed|female|Ptero|shining||21|
Atient|imp|male|Xanth, Imp Perial||works with safe fire stones.|20|
Atlast|thing||Xanth, Library Forrest||is a glade with a pattern of grass and sand that is a map.|m23|
Attila the Honey Bee|bee||Gourd||cuts off the heads from flowers.|15|
Attila the Pun|human|male|Xanth||hates puns and destroys them relentlessly. He committed suicide when ^Dawn^ told him he was a pun.|m21, 35|
Auntie Biotic|human|female|Mundania|||m28|
Auntie Depressant|human|female|Xanth|touching her and feeling better but much worse when the effect wears off||33|
Auntie Nym|human|female|Ptero, Comic Strip||is an antonym.|27|
Auntie Septic|human|female|Mundania|||m28|
Aura Dawn|crossbreed|female|Xanth||was knitting cable stitches for festoons.|33|
Aurora (ASFC)|human|female|Xanth||had "it", beauty and everything.|m1|
Aurora (ZL)|crossbreed|female|Cone, Inside; Xanth||is a winged mermaid who merged with ^Blob^ to become real in Xanth.|22|
Aurora Sky|human|female|Mundania; Xanth||was growing hydras in water, hydraponics, with ^Theresa^.|31|
Auspice|human|female|Xanth|changing her nature involuntarily to match her surroundings in mood, attitude, appearance and ability|was delivered after the rejuvenation of her parents.|33|
Auth|human|male|Xanth Reality 6|verifying anything's validity with Ticity|is Auth 'n' Ticity.|30|15
Auto Exec Bat|bat|male|Xanth||is the steed of ^Ms. Dos^.|38|
Autoharp|crossbreed|male|Xanth|playing beautiful melodies on strings that ran through his interior||24|
Automation|operating system||Xanth, Cloud||is built for mobile devices. It is called Tomato by ^Tiara^.|m38|
Awl|elf|male|Xanth|||9|
Ayitym|human|male|Xanth|absorbing one property of anything he touches||22|
Azalea|human|female|Xanth|conversing with land flowers|was left in leaves as a baby and raised by flower fairies. She was 15 years old when met. She rescued the children who were trapped in the Punderground, including her sister. She might become the girlfriend of Ray.|M30|
B B Allusion|horse|female|Xanth||was a visiting chestnut copper mare.|m23|
B-Devil|insect||Xanth|making a person feel like the b's name|was a minion of the ^Sea Hag's^ queen B.|9|
B-Foul|insect||Xanth|making a person feel like the b's name|was a minion of the ^Sea Hag's^ queen B.|9|
B-Gull|bird||Gourd, Lost Path|||29|
B-Nign|insect|female|Xanth||was soon-to-be queen of the Bs, insects larger and more magical than common bees. She got control of the behave and the minions of the old queen B who was under the control of the ^Sea Hag^.|9|
B-Wilder|insect||Xanth|making a person feel like the b's name|was a minion of the ^Sea Hag's^ queen B.|9|
BB|human|male|Xanth|giving others bad breath||22|
Ba Sis|human|female|Xanth|getting to the fundamental aspects of an issue, always||m38|
Baal Hammon|god|male|Mundania||is the god of the Next Wave barbarians.|m6|
Babe|ox||Xanth||is a big blue ox.|28|
Bali|nymph|female|Xanth||is wearing a bra.|41|
Ban D|demon|male|Xanth||makes disturbing noises.|35|
Barbar|human|male|Xanth|making folks' hair shorter||m37|
Barbara|human|female|Xanth|making folks' hair longer||m37|
Barbie Que|human|female|Xanth Reality 6|cooking food instantly by touch||30|
Bareface Von Wryneck|ogre|male|Xanth|||m15|
Barrel|human|male|Xanth|shooting things or blowing them up completely when joined with Lock and Stock|is Lock, Stock and Barrel, aspects of the 3 Princesses.|33|
Bash|ogre||Xanth||cultivates a garden of puns.|28|
Bathos|bat|male|Xanth|identity exchange|is a fruit bat who exchanged with ^Hugo^.|31|
Battila the Bun|human|male|Xanth|slicing stuff into bread||35|
Bear Minimum|bear||Xanth|||37|
Bears Mentioning|bear||Xanth|||24|
Bears Noting|bear||Xanth|||24|
Bears Repeating|bear||Xanth||are two bears with the same name.|24|
Beau|human||Xanth|||26|
Beauregard (AA)|demon|male|Hell||was a tour guide of Hell. He is the ex-boyfriend of D. Lusion. He is in Love with Angela, an angel from Heaven, so wants to go to Xanth so he can be with her.|31, M34|
Beauregard (ASFC)|demon|male|Xanth||is a friend of ^Humfrey^ who uses him on occasion to help answer questions. He is highly educated and writing his doctoral thesis: "Fallibilities of Other Intelligent Life in Xanth". He is moderately demonic-looking but his horns are vestigial and his tail is tufted not barbed.|1, 2, 4, m5, 14, m31|
Bec on Call|curse fiend|female|Xanth, Gateway Castle; Xanth, Region of Water||was always at Hydrogen's call. She was his brave and loyal helper. She is an ancestor of the merfolk in the Water Wing.|m16|
Becca|human|female|Xanth|changing personalities of people||27|
Becka|weredragon|female|Xanth, Castle Maidragon||is cute with blonde hair and brown eyes in her human form. She has bright green scales with purplish tinge towards the ends and wings like Draco's while in dragon form. She was briefly possessed by the ^Sea Hag^. ^Melody^, ^Harmony^, and ^Rhythm^ made her the mistress of Castle Maidragon. She married Brusque after being offered to ^Umlaut^ by Demons ^Fornax^ and ^Jupiter^.|M24, 25, 26, 27, M28, m30, 31, 36|
Belial|human|male|Xanth|creating, controlling, and banishing creatures of dust||33|
Bem 1|bug eyed monster||Other||is on the Bem Patrol.|34|
Bem 2|bug eyed monster||Other||is on the Bem Patrol.|34|
Ben|crossbreed|male|Xanth, Castle Maidragon|||31|
Benjamine|human; zombie|male|Xanth, Castle Zombie||is a soldier at Castle Zombie.|29|
Bentley|human|male|Mundania|||m23|
Benzine|crossbreed|female|Xanth|making things soft and loose|has fair hair and eyes that match. She is unmarried in the main Xanth reality but married to Umlaut in Xanth Reality Six when she was underage.|26, m30|
Bernard|human|male|Xanth|controlling time|was from the Xanth main reality, but he traveled to Xanth Reality 3 to find love. He came back to the main Xanth reality. He is called the Magician of Time.|M41|
Bernie|human|male|Xanth||was talking about the Bombshell.|31|
Bert|human|male|Xanth; Mundania||is the human part of a centaur who broke apart after going into Mundania. The horse part is ^Lam^.|27|
Besanii|human|female|Motes|flattering people and things||31|
Bev (AA)|human|female|Xanth|knowing when to start an action so that it will be successful or unsuccessful||31|
Bev (LOTD)|human|female|Mundania|||m36|1
Bianca|human|female|Xanth, North Village|replaying the last five seconds in a small area||1, 2, 4, 23|
Big Bad Wolf|human|male|Xanth||is a character in "The Three Little Prigs" written by ^Goar^ and played by a village lout.|41|
Big Blue Nose|ogre|male|Xanth||is a henchman of ^Marzipana Giganta^.|m15|
Bigfoot|giant|male|Xanth||is estimated to be about 60 feet tall. He is invisible but easy to locate due to his huge footprints, noisy passage, and horrendous smell.|1|
Bill|human|male|Xanth|telling the correct road to take||28|
Bill Fold|human|male|Motes|folding anything, living or dead||31|
Billy Applegate|human|male|Xanth Reality 2 (SN)||built Promenade Glade, a place for hearts to meet.|30|
Billy Jack|goat|male|Motes||has legs that can get longer or shorter.|31|
Binge|search engine||Xanth, OuterNet|||m38|12
Bink|human|male|Xanth, North Village; Xanth, Castle Roogna|protection from magic|was banished for his apparent lack of talent. When the true nature of his talent became clear, his talent was Magician level. For freeing the Demon ^Xanth^, all of his descendants will be Magicians. He served as King pro tem during the NextWave invasion. In the year ^1098^ at the age of 81, he took youth elixir and became 21. ^Tipsy^ helped him find the dream princes to free himself, Dor, and ^Dolph^ from the Isle of Women.|M1, M2, m3, m4, 6, m7, M9, m11, m13, 14, 17, m19, m21, M22, m23, m31, 35, 36, m37, m40, m41|
Biolo-G|letter bug||Ptero, Comic Strip||is wearing a G-string.|28|17
Bird of a Feather|bird|male|Xanth, Region of the Birds||rules of all the birds in Xanth except the Simurgh.|5|
Black|human|female|Xanth, South Village; Xanth, Caprice Castle|becoming Merge with her sisters|has waist length black hair and wears an outfit that matches her hair. She is the practical sister of the five.|38|
Black Pete|human|male|Xanth|dishonesty|is an accomplished liar and thief. He is the host of Thieves' Isle.|11|
Black RePete|human|male|Xanth Reality 6, Gourd|||30|
Blatant Beaste|crossbreed||Xanth||has the head of a serpent with a thousand tongues, body of a lion, cloven hooves, and a formidable stinger. It does not let anything stand in its way.|18|
Bliss|human|male|Xanth||never manifested any major talent therefore was removed from succession to the throne. Perhaps because of this, he became a decent fellow unlike his father. He was assassinated several years after his father by Fid, who wanted Rose, but he was able to hide Rose from Fid before he died.|14|
Blob|creature||Xanth||was an unformed creature brought by the stork and abandoned. Its dream image merged with the winged mermaid ^Aurora (ZL)^ on Cone so she could become real in Xanth.|22|
Block Buster|demon|male|Gourd||is the guardian of the Writers' Blocks.|32|4
Bloodroot|elf|male|Xanth, Region of the Elves||is armed with a red bag of fluid that might be blood-poison.|8|
Blue|human|female|Xanth, South Village; Xanth, Caprice Castle|becoming Merge with her sisters|has waist length light blue hair and wears an outfit that matches her hair. She is one of five sisters.|38|
Blue Jean|human|female|Always-Always|making pants||m30|
Blue Prince|human|male|Pyramid, Blue Face||is an inspector of the safe area on Pyramid.|38|
Blue Steel|demon|male|Xanth||is a demon patrolman with blue skin and a head that is flat on top. He works with ^Copper^.|2|
Blue Wizard|human|male|Pyramid, Blue Face||was the wizard of the Blue Face stealing talents from Ptero.|m21|
Bluebell|elf|female|Xanth, Region of the Elves||got the Accommodation Spell instead of ^Cowslip^.|8, m9, m14, m28|
Bluejay|cat||Mundania|||m21|
Blyght|brassy|female|Gourd, Brass City|||M5, m6|
Blythe|brassy|female|Gourd, Brass City||Her name was originally Blyght, but she preferred this name.|M5, 6, 14, m19|
Bo Vine|human|female|Xanth, Isle of Women|||m22|
Bogeyman|crossbreed|male|Xanth||has cold soulless white eyes, rat-like teeth, and dragon's body (maybe not here). It eats children and forces their mothers to redeem them via sex, substituting another child, or give up an equivalent mass of her own body.|37|
Bomb|insect|male|Xanth, Region of Madness|||19|
Bonita|human|female|Xanth, Adver City|||32|
Borealis|creature|male|Green Goo||wants to be with Aurora.|28|
Bortre|human|female|Xanth|intimidating anyone, even objects||m28|
Borywog|human|male|Mundania, Onesti||was the frail and old former tutor of ^Omen^.|4|
Boss|dog||Xanth||is a 90 pound black Labrador.|24, 27|
Braille|centaur|male|Xanth|transcribing documents|is in a forbidden relationship with Jana, a human. He can transcribe documents so that those who can't read can sense their meaning.|17|
Brain Coral|creature||Xanth, Brain Coral Pool|suggestion|has tremendous intelligence, magic, and conscience. It protected the Demon ^Xanth^ until he was released. Since it can not move, it operates through thought suggestions which seem to creatures like their own ideas. Its pool is used to store criminals, like ^Vadne^, and other miscreants, like ^Chilk^, ^Jama^, ^Numbo^, ^Potipher^, ^Zink^, and ^Horsejaw^. Some people elect to retire in the pool like ^Murphy^, ^Cynthia^, and ^Griselda^.|2, 3, m5, m12, m13, 14, 17, m18, 19, m23, m24, m25|
Bran D|demon|male|Xanth||People look sober until they met him, then they look inebriated|35|
Branch|faun|male|Xanth; Xanth, Void||is a tree faun who got lost in the Void and a neighbor of ^Forrest^. Forrest sought help for his tree.|m21, 25, m31|
Brandon Risner|human|male|Mundania||was a 16 year old killed in drunk driving accident. He was a passenger in car that hit a tree.|m23|
Brant (LOTD)|human|male|Xanth|death wish|had bad dreams that became real and killed people. The ^Night Stallion^ turned off his dreams.|36|13
Brant (WTC)|human|male|Xanth|answering any question without confusion|is tone deaf.|35|
Brawnye|brassy|male|Gourd, Brass City|||m19|
Breanna|human|female|Mundania; Xanth, Black Village; Xanth, Castle Zombie|seeing in blackness|was 15 years old when first introduced. She has lustrous black hair to waist, glowing green eyes, and a nice figure. She taught the Demon ^Xanth^ how to dream. She was a companion of ^Edsel^ and ^Pia Putz^ when they visited Xanth. ^Xeth^ led her to the Ring of Fire for the Swell Foop. She became the host of Demon ^Venus (GITG)^ who was assigned the emotion of love. She took ^Com Ponent's^ cookie. She took over Castle Zombie with Justin after ^Jonathan^ and ^Millie^ retired.|M22, M23, 24, M25, 26, 27, 28, 29, m31, m37|
Brenn|human|female|Xanth|changing into a brick wall||27|
Bria|brassy|female|Gourd, Brass City; Xanth||had to use an accommodation spell to mate with Eskil.|M10, 14, m15, m17, m19, m21, 26, m30|
Brick|bat|male|Xanth, Mount Etamin||is the leader of the Mount Etamin bats. He is obnoxious but loyal and guards the lair of ^Draco^.|11|
Brigitte|human|female|Xanth|making bridges appear||29|
Briskil|crossbreed|male|Ptero|||21|
Brontes|cyclops|male|Xanth||was a Power of Air with his brothers until they fell out of favor.|7, m11|
Brown|human|female|Xanth, South Village; Xanth, Caprice Castle|becoming Merge with her sisters|has waist length brown hair and wears a warm brown fur dress that matches her hair. She is one of five sisters.|38|
Brown Knees|human|female|Xanth, Isle of Women||is an elfin woman with brown knees which she is eager to show off, and more.|22|
Bruce (CaR)|human; zombie|male|Xanth, Castle Zombie||is a servant of the Zombie Master.|3, 27, 33|
Bruce (JC)|human|male|Xanth|seeing almost anything||33|13
Brunhilda|bat|female|Xanth|kisses that make love slaves|is a fruit bat. ^Dragoman^ is her love slave.|31|
Brusque|crossbreed|male|Xanth, Castle Maidragon|making things hard and heavy or soft and light|has a somewhat coppery complexion. He married Becka after being offered to Surprise by Demons ^Fornax^ and ^Jupiter^ in main Xanth. He married Surprise in Xanth Reality Four.|m15, 19, 26, 27, m30, 31|
Bryce|human|male|Mundania; Xanth|seeing ten seconds ahead with left eye on command|became a suitor of Harmony. He has gray eyes. In Mundania he is 80 and overweight with type 2 diabetes, clogged arteries, prostate cancer, and 1 to 2 years to live. He was rejuvenated to age 21 in Xanth. Harmony gave him a magic pen, but does not get the monocle. He will not marry Harmony, even though she chose him, because she is still too young.|M36, 37, 40, m41|
Bubbles|dog||Mundania; Xanth||was a cast-off dog that Kim rescued from its Mundanian bubble.|M16, 19, m26|
Bucktooth|goblin|male|Xanth|||12|
Bud|elf|male|Xanth, Region of the Elves||is an ally of ^Godiva^.|13|
Buddy|human|male|Xanth|becoming your best friend||35|
Bull-et|crossbreed|male|Xanth||is a half-brother to all of his siblings. He has a human head and bull body. He is speeding.|m35|
Bull-etin|crossbreed|male|Xanth||is a half-brother to all of his siblings. He has a human head and bull body. He is newsey.|m35|
Bull-ies|crossbreed|male|Xanth||is a half-brother to all of his siblings. He has a human head and bull body. He is tough.|m35|
Bull-ion|crossbreed|male|Xanth||is a half-brother to all of his siblings. He has a human head and bull body. He is rich.|m35|
Bull-rush|crossbreed|male|Xanth||is a half-brother to all of his siblings. He has a human head and bull body. He is river-browsing.|m35|
Bull-wark|crossbreed|male|Xanth||is a half-brother to all of his siblings. He has a human head and bull body/ He is stalwart.|m35|
Bureaucrat|demon||Hades||is the registration demon at University of Magic.|14|
Burnice|human|female|Xanth, Burnsville|burning things||37|
Burrito|donkey|male|Xanth, Castle Rock Candy||was the guide for ^Don Donkey^ in Castle Rock Candy. He cracked lame jokes.|32|
Bus Tard|bird|male|Xanth||is a big black and yellow bird capable of carying 66 passengers but always very tardy.|33|3
Busy Bee|bee|female|Xanth||is an island-sized bee.|39|
Button|human; ghost|male|Xanth, Castle Roogna||is a ghost in Castle Roogna. He is called the ghost of hope and redemption. He lead the group to Demon Eris.|m4, m14, 33|
C-3PO|robot||Mundania||is a character from <i>Star Wars</i> mentioned by Arjayess.|m26|
C-Gull|bird||Gourd, Lost Path|||29|
C. Duce|demon|female|Xanth||calls herself a cemoness. She seduced dragons and tried to seduce the Isis Orb companions off the enchanted path. Metria fought her.|33, 40|
C. Monster|sea monster||Xanth||was invading a river.|m4|
